Freq.	V(vo)
1.24165230759240e+001	(-1.08972239663097e+001dB,6.99609347264700e+001°)
1.24451461177138e+001	(-1.08802972320810e+001dB,6.99170931057987e+001°)
1.24738351424294e+001	(-1.08633800114815e+001dB,6.98732030520996e+001°)
1.25025903021771e+001	(-1.08464723237532e+001dB,6.98292645447431e+001°)
1.25314117494141e+001	(-1.08295741881562e+001dB,6.97852775632484e+001°)
1.25602996369487e+001	(-1.08126856239696e+001dB,6.97412420872846e+001°)
1.25892541179416e+001	(-1.07958066504911e+001dB,6.96971580966703e+001°)
1.26182753459066e+001	(-1.07789372870374e+001dB,6.96530255713731e+001°)
1.26473634747114e+001	(-1.07620775529443e+001dB,6.96088444915096e+001°)
1.26765186585784e+001	(-1.07452274675672e+001dB,6.95646148373457e+001°)
1.27057410520853e+001	(-1.07283870502810e+001dB,6.95203365892955e+001°)
1.27350308101665e+001	(-1.07115563204804e+001dB,6.94760097279225e+001°)
1.27643880881134e+001	(-1.06947352975800e+001dB,6.94316342339388e+001°)
1.27938130415752e+001	(-1.06779240010148e+001dB,6.93872100882045e+001°)
1.28233058265601e+001	(-1.06611224502402e+001dB,6.93427372717291e+001°)
1.28528665994361e+001	(-1.06443306647321e+001dB,6.92982157656706e+001°)
1.28824955169313e+001	(-1.06275486639876e+001dB,6.92536455513351e+001°)
1.29121927361353e+001	(-1.06107764675246e+001dB,6.92090266101783e+001°)
1.29419584144998e+001	(-1.05940140948824e+001dB,6.91643589238032e+001°)
1.29717927098395e+001	(-1.05772615656220e+001dB,6.91196424739634e+001°)
1.30016957803328e+001	(-1.05605188993259e+001dB,6.90748772425598e+001°)
1.30316677845229e+001	(-1.05437861155987e+001dB,6.90300632116431e+001°)
1.30617088813183e+001	(-1.05270632340674e+001dB,6.89852003634134e+001°)
1.30918192299940e+001	(-1.05103502743813e+001dB,6.89402886802192e+001°)
1.31219989901920e+001	(-1.04936472562123e+001dB,6.88953281445598e+001°)
1.31522483219223e+001	(-1.04769541992555e+001dB,6.88503187390827e+001°)
1.31825673855640e+001	(-1.04602711232289e+001dB,6.88052604465862e+001°)
1.32129563418657e+001	(-1.04435980478740e+001dB,6.87601532500193e+001°)
1.32434153519466e+001	(-1.04269349929560e+001dB,6.87149971324802e+001°)
1.32739445772973e+001	(-1.04102819782639e+001dB,6.86697920772187e+001°)
1.33045441797808e+001	(-1.03936390236111e+001dB,6.86245380676354e+001°)
1.33352143216332e+001	(-1.03770061488348e+001dB,6.85792350872824e+001°)
1.33659551654643e+001	(-1.03603833737975e+001dB,6.85338831198636e+001°)
1.33967668742593e+001	(-1.03437707183862e+001dB,6.84884821492349e+001°)
1.34276496113785e+001	(-1.03271682025129e+001dB,6.84430321594054e+001°)
1.34586035405594e+001	(-1.03105758461154e+001dB,6.83975331345360e+001°)
1.34896288259164e+001	(-1.02939936691567e+001dB,6.83519850589423e+001°)
1.35207256319427e+001	(-1.02774216916260e+001dB,6.83063879170934e+001°)
1.35518941235103e+001	(-1.02608599335386e+001dB,6.82607416936130e+001°)
1.35831344658714e+001	(-1.02443084149359e+001dB,6.82150463732795e+001°)
1.36144468246594e+001	(-1.02277671558864e+001dB,6.81693019410278e+001°)
1.36458313658891e+001	(-1.02112361764852e+001dB,6.81235083819477e+001°)
1.36772882559584e+001	(-1.01947154968547e+001dB,6.80776656812871e+001°)
1.37088176616484e+001	(-1.01782051371447e+001dB,6.80317738244505e+001°)
1.37404197501251e+001	(-1.01617051175327e+001dB,6.79858327970010e+001°)
1.37720946889394e+001	(-1.01452154582242e+001dB,6.79398425846603e+001°)
1.38038426460287e+001	(-1.01287361794530e+001dB,6.78938031733099e+001°)
1.38356637897177e+001	(-1.01122673014813e+001dB,6.78477145489915e+001°)
1.38675582887188e+001	(-1.00958088446001e+001dB,6.78015766979077e+001°)
1.38995263121334e+001	(-1.00793608291295e+001dB,6.77553896064234e+001°)
1.39315680294529e+001	(-1.00629232754187e+001dB,6.77091532610662e+001°)
1.39636836105593e+001	(-1.00464962038468e+001dB,6.76628676485268e+001°)
1.39958732257261e+001	(-1.00300796348225e+001dB,6.76165327556610e+001°)
1.40281370456195e+001	(-1.00136735887846e+001dB,6.75701485694901e+001°)
1.40604752412990e+001	(-9.99727808620251e+000dB,6.75237150772011e+001°)
1.40928879842186e+001	(-9.98089314757618e+000dB,6.74772322661490e+001°)
1.41253754462274e+001	(-9.96451879343645e+000dB,6.74307001238571e+001°)
1.41579377995707e+001	(-9.94815504434544e+000dB,6.73841186380174e+001°)
1.41905752168908e+001	(-9.93180192089679e+000dB,6.73374877964934e+001°)
1.42232878712281e+001	(-9.91545944371580e+000dB,6.72908075873194e+001°)
1.42560759360218e+001	(-9.89912763345991e+000dB,6.72440779987030e+001°)
1.42889395851109e+001	(-9.88280651081882e+000dB,6.71972990190251e+001°)
1.43218789927353e+001	(-9.86649609651482e+000dB,6.71504706368421e+001°)
1.43548943335364e+001	(-9.85019641130307e+000dB,6.71035928408861e+001°)
1.43879857825583e+001	(-9.83390747597195e+000dB,6.70566656200675e+001°)
1.44211535152486e+001	(-9.81762931134311e+000dB,6.70096889634746e+001°)
1.44543977074592e+001	(-9.80136193827204e+000dB,6.69626628603765e+001°)
1.44877185354475e+001	(-9.78510537764810e+000dB,6.69155873002230e+001°)
1.45211161758773e+001	(-9.76885965039498e+000dB,6.68684622726478e+001°)
1.45545908058195e+001	(-9.75262477747084e+000dB,6.68212877674674e+001°)
1.45881426027534e+001	(-9.73640077986867e+000dB,6.67740637746852e+001°)
1.46217717445671e+001	(-9.72018767861658e+000dB,6.67267902844910e+001°)
1.46554784095590e+001	(-9.70398549477788e+000dB,6.66794672872633e+001°)
1.46892627764385e+001	(-9.68779424945178e+000dB,6.66320947735706e+001°)
1.47231250243271e+001	(-9.67161396377312e+000dB,6.65846727341733e+001°)
1.47570653327588e+001	(-9.65544465891308e+000dB,6.65372011600250e+001°)
1.47910838816819e+001	(-9.63928635607929e+000dB,6.64896800422743e+001°)
1.48251808514594e+001	(-9.62313907651605e+000dB,6.64421093722660e+001°)
1.48593564228699e+001	(-9.60700284150473e+000dB,6.63944891415434e+001°)
1.48936107771090e+001	(-9.59087767236389e+000dB,6.63468193418496e+001°)
1.49279440957898e+001	(-9.57476359044974e+000dB,6.62990999651294e+001°)
1.49623565609442e+001	(-9.55866061715628e+000dB,6.62513310035312e+001°)
1.49968483550236e+001	(-9.54256877391554e+000dB,6.62035124494087e+001°)
1.50314196609001e+001	(-9.52648808219799e+000dB,6.61556442953228e+001°)
1.50660706618673e+001	(-9.51041856351271e+000dB,6.61077265340429e+001°)
1.51008015416413e+001	(-9.49436023940767e+000dB,6.60597591585499e+001°)
1.51356124843619e+001	(-9.47831313146993e+000dB,6.60117421620376e+001°)
1.51705036745932e+001	(-9.46227726132615e+000dB,6.59636755379142e+001°)
1.52054752973248e+001	(-9.44625265064252e+000dB,6.59155592798053e+001°)
