Freq.	V(vo)
2.45470891568502e+003	(-7.71851478144313e-002dB,3.74879443734568e-001°)
2.51188643150957e+003	(-7.71776005919012e-002dB,3.66346342393302e-001°)
2.57039578276885e+003	(-7.71703930389147e-002dB,3.58007465029865e-001°)
2.63026799189537e+003	(-7.71635098688264e-002dB,3.49858391443292e-001°)
2.69153480392690e+003	(-7.71569364829200e-002dB,3.41894801988963e-001°)
2.75422870333815e+003	(-7.71506589394476e-002dB,3.34112475296066e-001°)
2.81838293126444e+003	(-7.71446639240774e-002dB,3.26507286030970e-001°)
2.88403150312659e+003	(-7.71389387216242e-002dB,3.19075202719701e-001°)
2.95120922666637e+003	(-7.71334711891585e-002dB,3.11812285608193e-001°)
3.01995172040200e+003	(-7.71282497301910e-002dB,3.04714684582956e-001°)
3.09029543251358e+003	(-7.71232632701245e-002dB,2.97778637130480e-001°)
3.16227766016836e+003	(-7.71185012327394e-002dB,2.91000466346478e-001°)
3.23593656929627e+003	(-7.71139535177916e-002dB,2.84376578989783e-001°)
3.31131121482590e+003	(-7.71096104795879e-002dB,2.77903463579204e-001°)
3.38844156139201e+003	(-7.71054629065141e-002dB,2.71577688536787e-001°)
3.46736850452530e+003	(-7.71015020015398e-002dB,2.65395900367481e-001°)
3.54813389233574e+003	(-7.70977193634950e-002dB,2.59354821887587e-001°)
3.63078054770100e+003	(-7.70941069693433e-002dB,2.53451250486250e-001°)
3.71535229097171e+003	(-7.70906571570912e-002dB,2.47682056430846e-001°)
3.80189396320559e+003	(-7.70873626095807e-002dB,2.42044181209597e-001°)
3.89045144994279e+003	(-7.70842163389596e-002dB,2.36534635911956e-001°)
3.98107170553495e+003	(-7.70812116718538e-002dB,2.31150499644585e-001°)
4.07380277804111e+003	(-7.70783422352348e-002dB,2.25888917984388e-001°)
4.16869383470333e+003	(-7.70756019428839e-002dB,2.20747101469645e-001°)
4.26579518801591e+003	(-7.70729849825019e-002dB,2.15722324116721e-001°)
4.36515832240164e+003	(-7.70704858033644e-002dB,2.10811921980947e-001°)
4.46683592150961e+003	(-7.70680991045619e-002dB,2.06013291744118e-001°)
4.57088189614873e+003	(-7.70658198237566e-002dB,2.01323889332751e-001°)
4.67735141287196e+003	(-7.70636431264489e-002dB,1.96741228575165e-001°)
4.78630092322636e+003	(-7.70615643957088e-002dB,1.92262879879233e-001°)
4.89778819368444e+003	(-7.70595792223910e-002dB,1.87886468947767e-001°)
5.01187233627270e+003	(-7.70576833958038e-002dB,1.83609675522246e-001°)
5.12861383991362e+003	(-7.70558728947473e-002dB,1.79430232147071e-001°)
5.24807460249770e+003	(-7.70541438790003e-002dB,1.75345922976904e-001°)
5.37031796370250e+003	(-7.70524926811864e-002dB,1.71354582594910e-001°)
5.49540873857622e+003	(-7.70509157989626e-002dB,1.67454094869364e-001°)
5.62341325190346e+003	(-7.70494098876405e-002dB,1.63642391830346e-001°)
5.75439937337154e+003	(-7.70479717530309e-002dB,1.59917452576478e-001°)
5.88843655355586e+003	(-7.70465983447320e-002dB,1.56277302200130e-001°)
6.02559586074354e+003	(-7.70452867496053e-002dB,1.52720010743174e-001°)
6.16595001861479e+003	(-7.70440341856373e-002dB,1.49243692176106e-001°)
6.30957344480190e+003	(-7.70428379960234e-002dB,1.45846503392904e-001°)
6.45654229034652e+003	(-7.70416956435226e-002dB,1.42526643238986e-001°)
6.60693448007592e+003	(-7.70406047050898e-002dB,1.39282351555993e-001°)
6.76082975391978e+003	(-7.70395628667432e-002dB,1.36111908245351e-001°)
6.91830970918932e+003	(-7.70385679186140e-002dB,1.33013632363975e-001°)
7.07945784384134e+003	(-7.70376177503433e-002dB,1.29985881222134e-001°)
7.24435960074986e+003	(-7.70367103464997e-002dB,1.27027049525272e-001°)
7.41310241300913e+003	(-7.70358437823944e-002dB,1.24135568513885e-001°)
7.58577575029179e+003	(-7.70350162199519e-002dB,1.21309905134023e-001°)
7.76247116628687e+003	(-7.70342259038098e-002dB,1.18548561229971e-001°)
7.94328234724277e+003	(-7.70334711576329e-002dB,1.15850072741615e-001°)
8.12830516164094e+003	(-7.70327503805146e-002dB,1.13213008936535e-001°)
8.31763771102666e+003	(-7.70320620436072e-002dB,1.10635971643915e-001°)
8.51138038202371e+003	(-7.70314046868660e-002dB,1.08117594520923e-001°)
8.70963589956075e+003	(-7.70307769159645e-002dB,1.05656542322395e-001°)
8.91250938133740e+003	(-7.70301773993320e-002dB,1.03251510196681e-001°)
9.12010839355904e+003	(-7.70296048653226e-002dB,1.00901222992465e-001°)
9.33254300796985e+003	(-7.70290580995170e-002dB,9.86044345816057e-002°)
