Freq.	V(vout)/V(vin)
3.63078054770101e+000	(-1.29097308505904e+002dB,1.79859783990779e+002°)
3.71535229097172e+000	(-1.28697309577059e+002dB,1.79856517951303e+002°)
3.80189396320560e+000	(-1.28297310698694e+002dB,1.79853175836778e+002°)
3.89045144994280e+000	(-1.27897311873191e+002dB,1.79849755875244e+002°)
3.98107170553496e+000	(-1.27497313103040e+002dB,1.79846256253470e+002°)
4.07380277804112e+000	(-1.27097314390849e+002dB,1.79842675115997e+002°)
4.16869383470335e+000	(-1.26697315739350e+002dB,1.79839010564149e+002°)
4.26579518801592e+000	(-1.26297317151404e+002dB,1.79835260655027e+002°)
4.36515832240165e+000	(-1.25897318630005e+002dB,1.79831423400487e+002°)
4.46683592150962e+000	(-1.25497320178290e+002dB,1.79827496766076e+002°)
4.57088189614874e+000	(-1.25097321799543e+002dB,1.79823478669959e+002°)
4.67735141287197e+000	(-1.24697323497203e+002dB,1.79819366981819e+002°)
4.78630092322637e+000	(-1.24297325274870e+002dB,1.79815159521720e+002°)
4.89778819368445e+000	(-1.23897327136315e+002dB,1.79810854058959e+002°)
5.01187233627271e+000	(-1.23497329085487e+002dB,1.79806448310881e+002°)
5.12861383991364e+000	(-1.23097331126519e+002dB,1.79801939941668e+002°)
5.24807460249771e+000	(-1.22697333263742e+002dB,1.79797326561104e+002°)
5.37031796370252e+000	(-1.22297335501687e+002dB,1.79792605723309e+002°)
5.49540873857623e+000	(-1.21897337845102e+002dB,1.79787774925439e+002°)
5.62341325190348e+000	(-1.21497340298958e+002dB,1.79782831606365e+002°)
5.75439937337156e+000	(-1.21097342868458e+002dB,1.79777773145312e+002°)
5.88843655355588e+000	(-1.20697345559054e+002dB,1.79772596860472e+002°)
6.02559586074356e+000	(-1.20297348376452e+002dB,1.79767300007586e+002°)
6.16595001861481e+000	(-1.19897351326628e+002dB,1.79761879778486e+002°)
6.30957344480192e+000	(-1.19497354415840e+002dB,1.79756333299609e+002°)
6.45654229034654e+000	(-1.19097357650639e+002dB,1.79750657630475e+002°)
6.60693448007594e+000	(-1.18697361037887e+002dB,1.79744849762133e+002°)
6.76082975391980e+000	(-1.18297364584768e+002dB,1.79738906615560e+002°)
6.91830970918935e+000	(-1.17897368298806e+002dB,1.79732825040035e+002°)
7.07945784384136e+000	(-1.17497372187877e+002dB,1.79726601811473e+002°)
7.24435960074988e+000	(-1.17097376260231e+002dB,1.79720233630712e+002°)
7.41310241300916e+000	(-1.16697380524505e+002dB,1.79713717121767e+002°)
7.58577575029182e+000	(-1.16297384989744e+002dB,1.79707048830047e+002°)
7.76247116628690e+000	(-1.15897389665418e+002dB,1.79700225220522e+002°)
7.94328234724279e+000	(-1.15497394561444e+002dB,1.79693242675852e+002°)
8.12830516164097e+000	(-1.15097399688208e+002dB,1.79686097494471e+002°)
8.31763771102669e+000	(-1.14697405056581e+002dB,1.79678785888632e+002°)
8.51138038202374e+000	(-1.14297410677951e+002dB,1.79671303982397e+002°)
8.70963589956078e+000	(-1.13897416564241e+002dB,1.79663647809588e+002°)
8.91250938133743e+000	(-1.13497422727934e+002dB,1.79655813311688e+002°)
9.12010839355907e+000	(-1.13097429182104e+002dB,1.79647796335694e+002°)
9.33254300796988e+000	(-1.12697435940440e+002dB,1.79639592631917e+002°)
9.54992586021433e+000	(-1.12297443017275e+002dB,1.79631197851736e+002°)
9.77237220955808e+000	(-1.11897450427618e+002dB,1.79622607545298e+002°)
9.99999999999997e+000	(-1.11497458187187e+002dB,1.79613817159161e+002°)
1.02329299228075e+001	(-1.11097466312439e+002dB,1.79604822033889e+002°)
1.04712854805090e+001	(-1.10697474820605e+002dB,1.79595617401587e+002°)
1.07151930523760e+001	(-1.10297483729732e+002dB,1.79586198383378e+002°)
