Freq.	-I(R)/I(Rl)
1.11532130955986e+000	(8.65307529829656e+001dB,-8.99598392382152e+001°)
1.11583505228867e+000	(8.65267529849316e+001dB,-8.99598207429111e+001°)
1.11634903165924e+000	(8.65227529868994e+001dB,-8.99598022347971e+001°)
1.11686324778056e+000	(8.65187529888691e+001dB,-8.99597837156857e+001°)
1.11737770076170e+000	(8.65147529908405e+001dB,-8.99597651928225e+001°)
1.11789239071175e+000	(8.65107529928137e+001dB,-8.99597466589497e+001°)
1.11840731773986e+000	(8.65067529947888e+001dB,-8.99597281158749e+001°)
1.11892248195525e+000	(8.65027529967657e+001dB,-8.99597095672121e+001°)
1.11943788346716e+000	(8.64987529987445e+001dB,-8.99596910111421e+001°)
1.11995352238489e+000	(8.64947530007249e+001dB,-8.99596724404254e+001°)
1.12046939881781e+000	(8.64907530027073e+001dB,-8.99596538659069e+001°)
1.12098551287532e+000	(8.64867530046915e+001dB,-8.99596352803486e+001°)
1.12150186466687e+000	(8.64827530066775e+001dB,-8.99596166891642e+001°)
1.12201845430197e+000	(8.64787530086653e+001dB,-8.99595980869294e+001°)
1.12253528189017e+000	(8.64747530106550e+001dB,-8.99595794772491e+001°)
1.12305234754109e+000	(8.64707530126465e+001dB,-8.99595608565095e+001°)
1.12356965136437e+000	(8.64667530146399e+001dB,-8.99595422319164e+001°)
1.12408719346973e+000	(8.64627530166350e+001dB,-8.99595235926492e+001°)
1.12460497396693e+000	(8.64587530186320e+001dB,-8.99595049495129e+001°)
1.12512299296577e+000	(8.64547530206309e+001dB,-8.99594862988954e+001°)
1.12564125057611e+000	(8.64507530226329e+001dB,-8.99594676353926e+001°)
1.12615974690787e+000	(8.64467530246354e+001dB,-8.99594489661960e+001°)
1.12667848207100e+000	(8.64427530266397e+001dB,-8.99594302877011e+001°)
1.12719745617551e+000	(8.64387530286473e+001dB,-8.99594116016989e+001°)
1.12771666933148e+000	(8.64347530306554e+001dB,-8.99593929045906e+001°)
1.12823612164900e+000	(8.64307530326653e+001dB,-8.99593741999628e+001°)
1.12875581323824e+000	(8.64267530346770e+001dB,-8.99593554878077e+001°)
1.12927574420942e+000	(8.64227530366906e+001dB,-8.99593367627384e+001°)
1.12979591467280e+000	(8.64187530387061e+001dB,-8.99593180337156e+001°)
1.13031632473870e+000	(8.64147530407235e+001dB,-8.99592992953524e+001°)
1.13083697451748e+000	(8.64107530427427e+001dB,-8.99592805494341e+001°)
1.13135786411957e+000	(8.64067530447636e+001dB,-8.99592617887941e+001°)
1.13187899365542e+000	(8.64027530467866e+001dB,-8.99592430241678e+001°)
1.13240036323556e+000	(8.63987530488114e+001dB,-8.99592242501783e+001°)
1.13292197297056e+000	(8.63947530508380e+001dB,-8.99592054721821e+001°)
1.13344382297104e+000	(8.63907530528665e+001dB,-8.99591866812343e+001°)
1.13396591334767e+000	(8.63867530548963e+001dB,-8.99591678791202e+001°)
1.13448824421117e+000	(8.63827530569285e+001dB,-8.99591490747608e+001°)
1.13501081567232e+000	(8.63787530589626e+001dB,-8.99591302520854e+001°)
1.13553362784194e+000	(8.63747530609986e+001dB,-8.99591114307155e+001°)
1.13605668083091e+000	(8.63707530630364e+001dB,-8.99590925945901e+001°)
1.13657997475016e+000	(8.63667530650761e+001dB,-8.99590737526189e+001°)
1.13710350971065e+000	(8.63627530671178e+001dB,-8.99590549012302e+001°)
1.13762728582344e+000	(8.63587530691625e+001dB,-8.99590360386390e+001°)
1.13815130319958e+000	(8.63547530712079e+001dB,-8.99590171701794e+001°)
1.13867556195022e+000	(8.63507530732552e+001dB,-8.99589982940630e+001°)
1.13920006218653e+000	(8.63467530753043e+001dB,-8.99589794067274e+001°)
1.13972480401975e+000	(8.63427530773554e+001dB,-8.99589605117227e+001°)
1.14024978756117e+000	(8.63387530794082e+001dB,-8.99589416072655e+001°)
1.14077501292213e+000	(8.63347530814631e+001dB,-8.99589226969004e+001°)
1.14130048021400e+000	(8.63307530835198e+001dB,-8.99589037752948e+001°)
1.14182618954823e+000	(8.63267530855784e+001dB,-8.99588848442192e+001°)
1.14235214103631e+000	(8.63227530876388e+001dB,-8.99588659036682e+001°)
1.14287833478978e+000	(8.63187530897013e+001dB,-8.99588469589516e+001°)
1.14340477092023e+000	(8.63147530917656e+001dB,-8.99588280012024e+001°)
1.14393144953931e+000	(8.63107530938318e+001dB,-8.99588090392705e+001°)
1.14445837075872e+000	(8.63067530958998e+001dB,-8.99587900642971e+001°)
1.14498553469019e+000	(8.63027530979699e+001dB,-8.99587710833554e+001°)
1.14551294144554e+000	(8.62987531000431e+001dB,-8.99587520911324e+001°)
1.14604059113661e+000	(8.62947531021169e+001dB,-8.99587330929256e+001°)
1.14656848387530e+000	(8.62907531041925e+001dB,-8.99587140816610e+001°)
1.14709661977356e+000	(8.62867531062702e+001dB,-8.99586950661639e+001°)
1.14762499894341e+000	(8.62827531083497e+001dB,-8.99586760393644e+001°)
1.14815362149689e+000	(8.62787531104312e+001dB,-8.99586570047865e+001°)
1.14868248754611e+000	(8.62747531125146e+001dB,-8.99586379641854e+001°)
1.14921159720325e+000	(8.62707531145999e+001dB,-8.99586189122651e+001°)
1.14974095058049e+000	(8.62667531166871e+001dB,-8.99585998490227e+001°)
1.15027054779012e+000	(8.62627531187763e+001dB,-8.99585807779760e+001°)
1.15080038894444e+000	(8.62587531208686e+001dB,-8.99585617026361e+001°)
1.15133047415582e+000	(8.62547531229615e+001dB,-8.99585426124385e+001°)
1.15186080353668e+000	(8.62507531250565e+001dB,-8.99585235179322e+001°)
1.15239137719949e+000	(8.62467531271547e+001dB,-8.99585044120766e+001°)
1.15292219525677e+000	(8.62427531292535e+001dB,-8.99584853001375e+001°)
1.15345325782110e+000	(8.62387531313541e+001dB,-8.99584661733275e+001°)
1.15398456500509e+000	(8.62347531334568e+001dB,-8.99584470439309e+001°)
1.15451611692144e+000	(8.62307531355614e+001dB,-8.99584279031638e+001°)
1.15504791368286e+000	(8.62267531376679e+001dB,-8.99584087562822e+001°)
1.15557995540213e+000	(8.62227531397763e+001dB,-8.99583895980194e+001°)
1.15611224219210e+000	(8.62187531418868e+001dB,-8.99583704318753e+001°)
1.15664477416565e+000	(8.62147531439991e+001dB,-8.99583512560915e+001°)
1.15717755143571e+000	(8.62107531461134e+001dB,-8.99583320706628e+001°)
1.15771057411528e+000	(8.62067531482296e+001dB,-8.99583128773329e+001°)
1.15824384231738e+000	(8.62027531503491e+001dB,-8.99582936725977e+001°)
1.15877735615513e+000	(8.61987531524693e+001dB,-8.99582744651910e+001°)
1.15931111574166e+000	(8.61947531545913e+001dB,-8.99582552428721e+001°)
1.15984512119017e+000	(8.61907531567153e+001dB,-8.99582360161174e+001°)
1.16037937261391e+000	(8.61867531588413e+001dB,-8.99582167779345e+001°)
1.16091387012619e+000	(8.61827531609693e+001dB,-8.99581975318089e+001°)
1.16144861384035e+000	(8.61787531630992e+001dB,-8.99581782759895e+001°)
1.16198360386980e+000	(8.61747531652311e+001dB,-8.99581590104709e+001°)
1.16251884032801e+000	(8.61707531673649e+001dB,-8.99581397404731e+001°)
1.16305432332847e+000	(8.61667531695021e+001dB,-8.99581204590198e+001°)
1.16359005298476e+000	(8.61627531716398e+001dB,-8.99581011678483e+001°)
1.16412602941050e+000	(8.61587531737795e+001dB,-8.99580818669532e+001°)
1.16466225271934e+000	(8.61547531759213e+001dB,-8.99580625615448e+001°)
1.16519872302501e+000	(8.61507531780649e+001dB,-8.99580432411842e+001°)
1.16573544044128e+000	(8.61467531802106e+001dB,-8.99580239145580e+001°)
1.16627240508197e+000	(8.61427531823582e+001dB,-8.99580045816561e+001°)
1.16680961706097e+000	(8.61387531845079e+001dB,-8.99579852389976e+001°)
1.16734707649220e+000	(8.61347531866594e+001dB,-8.99579658831083e+001°)
1.16788478348964e+000	(8.61307531888143e+001dB,-8.99579465209225e+001°)
1.16842273816734e+000	(8.61267531909698e+001dB,-8.99579271506971e+001°)
1.16896094063937e+000	(8.61227531931273e+001dB,-8.99579077672282e+001°)
1.16949939101988e+000	(8.61187531952869e+001dB,-8.99578883809031e+001°)
1.17003808942305e+000	(8.61147531974484e+001dB,-8.99578689847849e+001°)
1.17057703596314e+000	(8.61107531996119e+001dB,-8.99578495788682e+001°)
1.17111623075444e+000	(8.61067532017774e+001dB,-8.99578301631477e+001°)
1.17165567391131e+000	(8.61027532039449e+001dB,-8.99578107376182e+001°)
1.17219536554814e+000	(8.60987532061144e+001dB,-8.99577913057289e+001°)
1.17273530577938e+000	(8.60947532082872e+001dB,-8.99577718640167e+001°)
1.17327549471956e+000	(8.60907532104606e+001dB,-8.99577524090248e+001°)
1.17381593248323e+000	(8.60867532126362e+001dB,-8.99577329528274e+001°)
1.17435661918500e+000	(8.60827532148137e+001dB,-8.99577134816139e+001°)
1.17489755493954e+000	(8.60787532169944e+001dB,-8.99576940022796e+001°)
1.17543873986156e+000	(8.60747532191759e+001dB,-8.99576745148168e+001°)
1.17598017406585e+000	(8.60707532213594e+001dB,-8.99576550209396e+001°)
1.17652185766723e+000	(8.60667532235463e+001dB,-8.99576355137540e+001°)
1.17706379078057e+000	(8.60627532257338e+001dB,-8.99576160001403e+001°)
1.17760597352081e+000	(8.60587532279234e+001dB,-8.99575964783689e+001°)
1.17814840600293e+000	(8.60547532301150e+001dB,-8.99575769449948e+001°)
