Freq.	V(vo)
1.01507936657269e+001	(-1.24030835076309e+001dB,7.35925549643889e+001°)
1.01531312414576e+001	(-1.24013152216614e+001dB,7.35885859806017e+001°)
1.01554693554969e+001	(-1.23995470144950e+001dB,7.35846165382445e+001°)
1.01578080079690e+001	(-1.23977788861498e+001dB,7.35806466372819e+001°)
1.01601471989976e+001	(-1.23960108366438e+001dB,7.35766762776784e+001°)
1.01624869287069e+001	(-1.23942428659951e+001dB,7.35727054593984e+001°)
1.01648271972209e+001	(-1.23924749742216e+001dB,7.35687341824063e+001°)
1.01671680046637e+001	(-1.23907071613414e+001dB,7.35647624466668e+001°)
1.01695093511594e+001	(-1.23889394273726e+001dB,7.35607902521446e+001°)
1.01718512368321e+001	(-1.23871717723331e+001dB,7.35568175988040e+001°)
1.01741936618060e+001	(-1.23854041962410e+001dB,7.35528444866097e+001°)
1.01765366262053e+001	(-1.23836366991143e+001dB,7.35488709155265e+001°)
1.01788801301542e+001	(-1.23818692809711e+001dB,7.35448968855190e+001°)
1.01812241737769e+001	(-1.23801019418294e+001dB,7.35409223965517e+001°)
1.01835687571978e+001	(-1.23783346817072e+001dB,7.35369474485894e+001°)
1.01859138805411e+001	(-1.23765675006226e+001dB,7.35329720415969e+001°)
1.01882595439312e+001	(-1.23748003985936e+001dB,7.35289961755388e+001°)
1.01906057474925e+001	(-1.23730333756382e+001dB,7.35250198503800e+001°)
1.01929524913492e+001	(-1.23712664317745e+001dB,7.35210430660849e+001°)
1.01952997756260e+001	(-1.23694995670206e+001dB,7.35170658226189e+001°)
1.01976476004471e+001	(-1.23677327813944e+001dB,7.35130881199464e+001°)
1.01999959659371e+001	(-1.23659660749140e+001dB,7.35091099580323e+001°)
1.02023448722206e+001	(-1.23641994475975e+001dB,7.35051313368415e+001°)
1.02046943194219e+001	(-1.23624328994629e+001dB,7.35011522563387e+001°)
1.02070443076658e+001	(-1.23606664305282e+001dB,7.34971727164891e+001°)
1.02093948370767e+001	(-1.23589000408116e+001dB,7.34931927172574e+001°)
1.02117459077794e+001	(-1.23571337303310e+001dB,7.34892122586087e+001°)
1.02140975198984e+001	(-1.23553674991045e+001dB,7.34852313405076e+001°)
1.02164496735585e+001	(-1.23536013471501e+001dB,7.34812499629196e+001°)
1.02188023688843e+001	(-1.23518352744860e+001dB,7.34772681258094e+001°)
1.02211556060007e+001	(-1.23500692811301e+001dB,7.34732858291420e+001°)
1.02235093850322e+001	(-1.23483033671005e+001dB,7.34693030728824e+001°)
1.02258637061039e+001	(-1.23465375324153e+001dB,7.34653198569958e+001°)
1.02282185693404e+001	(-1.23447717770925e+001dB,7.34613361814471e+001°)
1.02305739748666e+001	(-1.23430061011502e+001dB,7.34573520462018e+001°)
1.02329299228075e+001	(-1.23412405046064e+001dB,7.34533674512244e+001°)
1.02352864132878e+001	(-1.23394749874792e+001dB,7.34493823964806e+001°)
1.02376434464327e+001	(-1.23377095497867e+001dB,7.34453968819353e+001°)
