,level_0,index,Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
220,313,464,608135.0012787181,-13.37859068571465,5455.842492006032
221,314,466,625172.6927756862,-15.602245211680401,5104.232218522374
222,316,469,651628.3940608425,-19.48750053026951,5761.5600965149415
223,317,471,669884.6094165263,-2.8202443623566236,5160.280357474671
224,319,474,698232.4040771711,-6.066072502380469,5884.15421146099
225,320,476,717794.2912713615,-20.23454501455125,4854.550511505633
226,321,477,727779.8045368239,-22.77523471490571,5314.788056521713
227,323,480,758577.5750291836,-25.96369999580915,5342.521713580877
228,325,484,801678.063387679,-23.72297771715963,5080.103262064421
229,326,486,824138.1150130022,-45.2211393428849,4979.498997835669
230,327,488,847227.4141405963,-33.35853415087924,3924.626940634217
231,328,490,870963.5899560804,-15.08047805332735,4681.553920659548
232,330,493,907820.5301781857,-17.52356341234663,4709.054117483653
233,331,495,933254.300796991,-51.15178479816019,4814.952990353631
234,332,496,946237.161365793,-2.4809393609908033,4847.998099933426
235,334,500,1000000.0,-38.41431269053816,3799.223918106909
