Freq.	V(vout)/V(vin)
1.08767713763100e+002	(-2.56857902635487e+000dB,4.51324185338783e+001°)
1.08893009333344e+002	(-2.56514509961570e+000dB,4.50889380742768e+001°)
1.09018449238513e+002	(-2.56171694242270e+000dB,4.50454853882902e+001°)
1.09144033644876e+002	(-2.55829454839309e+000dB,4.50020604914359e+001°)
1.09269762718892e+002	(-2.55487791114106e+000dB,4.49586633991573e+001°)
1.09395636627210e+002	(-2.55146702428002e+000dB,4.49152941268471e+001°)
1.09521655536674e+002	(-2.54806188141703e+000dB,4.48719526897880e+001°)
1.09647819614319e+002	(-2.54466247615616e+000dB,4.48286391031912e+001°)
1.09774129027372e+002	(-2.54126880210200e+000dB,4.47853533822267e+001°)
1.09900583943253e+002	(-2.53788085285367e+000dB,4.47420955419644e+001°)
1.10027184529574e+002	(-2.53449862200850e+000dB,4.46988655974121e+001°)
1.10153930954142e+002	(-2.53112210316168e+000dB,4.46556635635090e+001°)
1.10280823384956e+002	(-2.52775128990092e+000dB,4.46124894550735e+001°)
1.10407861990208e+002	(-2.52438617581770e+000dB,4.45693432869171e+001°)
1.10535046938285e+002	(-2.52102675449876e+000dB,4.45262250737541e+001°)
1.10662378397767e+002	(-2.51767301952575e+000dB,4.44831348302038e+001°)
1.10789856537430e+002	(-2.51432496447653e+000dB,4.44400725707978e+001°)
1.10917481526241e+002	(-2.51098258293368e+000dB,4.43970383100701e+001°)
1.11045253533365e+002	(-2.50764586847120e+000dB,4.43540320624171e+001°)
1.11173172728160e+002	(-2.50431481466065e+000dB,4.43110538421647e+001°)
1.11301239280180e+002	(-2.50098941507302e+000dB,4.42681036635841e+001°)
1.11429453359174e+002	(-2.49766966327794e+000dB,4.42251815408850e+001°)
1.11557815135086e+002	(-2.49435555283610e+000dB,4.41822874881352e+001°)
1.11686324778057e+002	(-2.49104707731420e+000dB,4.41394215194164e+001°)
1.11814982458423e+002	(-2.48774423027011e+000dB,4.40965836486699e+001°)
1.11943788346716e+002	(-2.48444700526525e+000dB,4.40537738898229e+001°)
1.12072742613665e+002	(-2.48115539585360e+000dB,4.40109922566785e+001°)
1.12201845430197e+002	(-2.47786939558586e+000dB,4.39682387629534e+001°)
1.12331096967433e+002	(-2.47458899801998e+000dB,4.39255134223889e+001°)
1.12460497396693e+002	(-2.47131419669611e+000dB,4.38828162484950e+001°)
1.12590046889495e+002	(-2.46804498516714e+000dB,4.38401472548584e+001°)
1.12719745617552e+002	(-2.46478135697369e+000dB,4.37975064548879e+001°)
1.12849593752777e+002	(-2.46152330566174e+000dB,4.37548938619972e+001°)
1.12979591467281e+002	(-2.45827082477010e+000dB,4.37123094894745e+001°)
1.13109738933371e+002	(-2.45502390783504e+000dB,4.36697533505271e+001°)
1.13240036323557e+002	(-2.45178254839409e+000dB,4.36272254583262e+001°)
1.13370483810542e+002	(-2.44854673997970e+000dB,4.35847258259340e+001°)
1.13501081567232e+002	(-2.44531647612687e+000dB,4.35422544663854e+001°)
1.13631829766732e+002	(-2.44209175036224e+000dB,4.34998113925792e+001°)
1.13762728582344e+002	(-2.43887255621619e+000dB,4.34573966173954e+001°)
1.13893778187572e+002	(-2.43565888721462e+000dB,4.34150101536158e+001°)
1.14024978756118e+002	(-2.43245073687661e+000dB,4.33726520138962e+001°)
1.14156330461885e+002	(-2.42924809873349e+000dB,4.33303222109625e+001°)
1.14287833478978e+002	(-2.42605096629774e+000dB,4.32880207572932e+001°)
1.14419487981699e+002	(-2.42285933309067e+000dB,4.32457476654019e+001°)
1.14551294144554e+002	(-2.41967319263019e+000dB,4.32035029477086e+001°)
1.14683252142249e+002	(-2.41649253843148e+000dB,4.31612866165542e+001°)
1.14815362149689e+002	(-2.41331736400601e+000dB,4.31190986841802e+001°)
1.14947624341984e+002	(-2.41014766286508e+000dB,4.30769391627727e+001°)
1.15080038894444e+002	(-2.40698342852476e+000dB,4.30348080645059e+001°)
1.15212605982582e+002	(-2.40382465448490e+000dB,4.29927054013352e+001°)
1.15345325782110e+002	(-2.40067133426025e+000dB,4.29506311853059e+001°)
1.15478198468947e+002	(-2.39752346135025e+000dB,4.29085854282533e+001°)
1.15611224219211e+002	(-2.39438102925958e+000dB,4.28665681420043e+001°)
1.15744403209225e+002	(-2.39124403149355e+000dB,4.28245793383345e+001°)
1.15877735615514e+002	(-2.38811246155199e+000dB,4.27826190289053e+001°)
1.16011221614806e+002	(-2.38498631293227e+000dB,4.27406872252931e+001°)
1.16144861384035e+002	(-2.38186557913428e+000dB,4.26987839390400e+001°)
1.16278655100336e+002	(-2.37875025365338e+000dB,4.26569091815832e+001°)
1.16412602941050e+002	(-2.37564032998499e+000dB,4.26150629642990e+001°)
1.16546705083721e+002	(-2.37253580162232e+000dB,4.25732452984818e+001°)
1.16680961706097e+002	(-2.36943666206149e+000dB,4.25314561953946e+001°)
1.16815372986133e+002	(-2.36634290478992e+000dB,4.24896956661496e+001°)
1.16949939101988e+002	(-2.36325452329872e+000dB,4.24479637218364e+001°)
1.17084660232025e+002	(-2.36017151107734e+000dB,4.24062603734660e+001°)
1.17219536554814e+002	(-2.35709386161439e+000dB,4.23645856319788e+001°)
1.17354568249130e+002	(-2.35402156839430e+000dB,4.23229395082103e+001°)
1.17489755493954e+002	(-2.35095462490230e+000dB,4.22813220129412e+001°)
1.17625098468473e+002	(-2.34789302462573e+000dB,4.22397331569118e+001°)
1.17760597352082e+002	(-2.34483676104617e+000dB,4.21981729507393e+001°)
1.17896252324380e+002	(-2.34178582764460e+000dB,4.21566414049741e+001°)
1.18032063565174e+002	(-2.33874021790563e+000dB,4.21151385301360e+001°)
1.18168031254479e+002	(-2.33569992530443e+000dB,4.20736643365889e+001°)
1.18304155572518e+002	(-2.33266494332674e+000dB,4.20322188347375e+001°)
1.18440436699718e+002	(-2.32963526544664e+000dB,4.19908020348043e+001°)
1.18576874816717e+002	(-2.32661088514402e+000dB,4.19494139470055e+001°)
1.18713470104361e+002	(-2.32359179589344e+000dB,4.19080545814395e+001°)
1.18850222743703e+002	(-2.32057799117215e+000dB,4.18667239481650e+001°)
1.18987132916005e+002	(-2.31756946445300e+000dB,4.18254220571318e+001°)
1.19124200802739e+002	(-2.31456620921659e+000dB,4.17841489183003e+001°)
1.19261426585583e+002	(-2.31156821893013e+000dB,4.17429045414332e+001°)
1.19398810446429e+002	(-2.30857548706758e+000dB,4.17016889362913e+001°)
1.19536352567373e+002	(-2.30558800710506e+000dB,4.16605021125926e+001°)
1.19674053130726e+002	(-2.30260577251174e+000dB,4.16193440799159e+001°)
1.19811912319005e+002	(-2.29962877675697e+000dB,4.15782148477780e+001°)
1.19949930314939e+002	(-2.29665701331239e+000dB,4.15371144256484e+001°)
1.20088107301468e+002	(-2.29369047564826e+000dB,4.14960428229152e+001°)
1.20226443461743e+002	(-2.29072915723496e+000dB,4.14550000489004e+001°)
1.20364938979123e+002	(-2.28777305153884e+000dB,4.14139861128187e+001°)
1.20503594037181e+002	(-2.28482215202971e+000dB,4.13730010238476e+001°)
1.20642408819701e+002	(-2.28187645217554e+000dB,4.13320447910801e+001°)
1.20781383510679e+002	(-2.27893594544634e+000dB,4.12911174235595e+001°)
1.20920518294322e+002	(-2.27600062530265e+000dB,4.12502189301642e+001°)
1.21059813355050e+002	(-2.27307048521635e+000dB,4.12093493198205e+001°)
1.21199268877494e+002	(-2.27014551865410e+000dB,4.11685086013256e+001°)
1.21338885046499e+002	(-2.26722571907813e+000dB,4.11276967833692e+001°)
1.21478662047124e+002	(-2.26431107995833e+000dB,4.10869138746431e+001°)
1.21618600064638e+002	(-2.26140159475962e+000dB,4.10461598837198e+001°)
1.21758699284527e+002	(-2.25849725694340e+000dB,4.10054348190667e+001°)
1.21898959892488e+002	(-2.25559805997995e+000dB,4.09647386891694e+001°)
1.22039382074433e+002	(-2.25270399733335e+000dB,4.09240715023763e+001°)
1.22179966016489e+002	(-2.24981506246459e+000dB,4.08834332669403e+001°)
1.22320711904995e+002	(-2.24693124884335e+000dB,4.08428239911210e+001°)
1.22461619926506e+002	(-2.24405254993377e+000dB,4.08022436830572e+001°)
1.22602690267794e+002	(-2.24117895919616e+000dB,4.07616923507745e+001°)
1.22743923115842e+002	(-2.23831047010041e+000dB,4.07211700023211e+001°)
1.22885318657852e+002	(-2.23544707610961e+000dB,4.06806766456068e+001°)
1.23026877081240e+002	(-2.23258877068538e+000dB,4.06402122884509e+001°)
1.23168598573637e+002	(-2.22973554729829e+000dB,4.05997769386912e+001°)
1.23310483322892e+002	(-2.22688739940795e+000dB,4.05593706039823e+001°)
1.23452531517070e+002	(-2.22404432048445e+000dB,4.05189932920055e+001°)
1.23594743344452e+002	(-2.22120630398763e+000dB,4.04786450102747e+001°)
1.23737118993537e+002	(-2.21837334338647e+000dB,4.04383257663115e+001°)
1.23879658653038e+002	(-2.21554543214632e+000dB,4.03980355675324e+001°)
1.24022362511890e+002	(-2.21272256373097e+000dB,4.03577744212627e+001°)
1.24165230759243e+002	(-2.20990473160754e+000dB,4.03175423347846e+001°)
1.24308263584464e+002	(-2.20709192924491e+000dB,4.02773393153244e+001°)
1.24451461177140e+002	(-2.20428415010605e+000dB,4.02371653699731e+001°)
1.24594823727076e+002	(-2.20148138765799e+000dB,4.01970205057880e+001°)
1.24738351424296e+002	(-2.19868363537288e+000dB,4.01569047297992e+001°)
1.24882044459041e+002	(-2.19589088671218e+000dB,4.01168180488582e+001°)
1.25025903021774e+002	(-2.19310313514965e+000dB,4.00767604698580e+001°)
1.25169927303174e+002	(-2.19032037415194e+000dB,4.00367319995475e+001°)
1.25314117494143e+002	(-2.18754259718561e+000dB,3.99967326445993e+001°)
1.25458473785801e+002	(-2.18476979772587e+000dB,3.99567624116900e+001°)
1.25602996369489e+002	(-2.18200196923753e+000dB,3.99168213073219e+001°)
1.25747685436768e+002	(-2.17923910519543e+000dB,3.98769093380160e+001°)
1.25892541179418e+002	(-2.17648119906825e+000dB,3.98370265101545e+001°)
1.26037563789444e+002	(-2.17372824432828e+000dB,3.97971728300800e+001°)
1.26182753459069e+002	(-2.17098023445282e+000dB,3.97573483041037e+001°)
