Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
109647.8196143186,1.546275122909134,7136.282064717632
111173.1727281592,-7.88572993364404,6266.662683474922
112719.7456175511,-4.097607577518867,6360.875900979857
114287.8334789772,-7.45131616087173,6098.113531538038
115877.7356155126,-3.45512804073447,5863.986623145825
117489.7554939529,-0.3312938953040048,7307.803275198292
119124.2008027375,-0.9158716966705274,6609.042076233851
120781.383510678,-0.1730597491954424,6537.942915303963
122461.6199265049,-8.818860474619084,6040.973195119958
124165.2307592411,-3.002777144516897,7026.30942795642
125892.5411794167,-5.131599276375729,6682.417285128872
127643.8808811344,-0.169429094695821,6640.930593886441
129419.5841449986,-3.738914757943681,6316.872338453113
131219.9899019203,-5.903375158251222,6062.416669351353
133045.4417978091,-3.665602961400992,6321.509646047364
134896.2882591654,-2.934475133500615,6691.565155855454
136772.8825595849,-5.629632529066662,6085.647905439529
138675.5828871889,-3.407309524602951,6500.9417340909
140604.7524129914,-2.484808988136207,6581.016191367801
142560.7593602188,-0.6399004721016955,6772.852365370439
144543.9770745928,-0.6335190618045432,6589.140212502088
146554.7840955912,-5.209986499762215,6399.494350107336
148593.5642287007,-4.454653562914383,6816.911700162235
150660.7066186742,-4.541505678050346,6432.33483619395
152756.6058238073,-2.734968920895625,6555.185888129105
154881.6618912482,-1.258478245828873,6287.438859702158
157036.2804333553,-4.303840891192403,6285.008248236242
159220.872705117,-4.072918157200244,6279.330617573793
161435.8556826487,-3.741159149423169,6506.689299931304
163681.6521427809,-2.133193639803908,6257.729833810059
165958.6907437561,-11.27744196235384,6162.677896534373
168267.4061070468,-5.052140050747977,6176.733186399239
170608.2389003124,-5.437293580890817,6402.564282187345
172981.6359215102,-2.783529308609258,7077.144570893428
175388.0501841762,-6.486487585618404,6402.979743496833
177827.9410038923,-5.74039211078016,6224.530855755204
180301.7740859569,-2.632534328508796,6833.106682341809
182810.0216142743,-4.339841000429868,6346.349837089231
185353.1623414812,-2.460000388406146,6479.058549624209
187931.6816803269,-4.907093822843236,6406.257767274398
190546.0717963248,-6.906083631156619,6451.772259490958
193196.8317016925,-14.36376810165079,5853.796981158586
195884.4673505991,-1.03161565181839,6337.561117334157
198609.4917357372,-3.500669511172118,6745.953074631628
201372.4249862389,-4.790964143293186,6270.686398102314
204173.794466953,-10.56696991479549,5935.074871283827
207014.1348791043,-14.37754853985863,5729.993900950842
209893.9883623525,-16.65561118095977,5767.717415496958
212813.9045982713,-3.022176122955867,6485.733400586501
215774.4409152667,-4.17287831651281,6348.426555954732
218776.1623949553,-7.798866941892594,6209.134969647694
221819.641980022,-5.961333785441332,6627.487612811539
224905.4605835782,-4.231551114944582,7081.991866742384
228034.2072000419,-1.967744702112069,6601.825256274182
231206.4790175596,-17.08116721477914,5769.550344705207
234422.8815319923,-5.383905668550184,6068.952821912967
237684.0286624878,-11.95680471204004,6088.310117161134
240990.5428686596,-8.68143450112918,6442.296453065121
244343.0552693973,-6.425486768094232,6292.797022365829
247742.2057633287,-3.242695690950417,6306.070511267969
251188.6431509582,-7.249299129968088,6700.708585337476
254683.0252585042,-17.46282407005214,5621.727289581881
258226.0190634598,-3.78906970862639,6210.363851953231
261818.3008218987,-5.401089238474074,6441.855886628082
265460.5561975541,-7.605885784975446,6615.728050950444
269153.4803926917,-5.61995601339678,6959.580008260989
272897.7782808042,-1.89277339349804,6543.34039086183
276694.1645411511,-5.112698758568119,6372.265206767221
280543.3637951713,-6.579619802841941,6188.795047693037
284446.1107447915,-9.753449771236422,5837.68457293593
288403.1503126606,-5.366058203010223,6700.290103281144
292415.2377843335,-12.40845395355403,6325.604794166118
296483.1389524342,-1.790908959601409,5716.373921103486
300607.6302628231,0.03744009986057642,6658.147411189882
304789.4989627983,-14.05051153335945,6871.973751427532
309029.5432513591,-8.352422967396045,6222.777939389181
313328.5724315585,-5.40649349783493,6453.494971871791
317687.407064977,-3.533710535302012,6491.955537234592
322106.8791283434,-18.55694975162403,5664.84296425436
326587.8321723358,-20.60380434804141,6562.469027166965
331131.121482591,-2.257824855584721,6747.22068933872
335737.6142429546,-5.804097346858461,6537.115004934783
340408.1897010009,-15.1446206852417,7163.869053545122
345143.7393358562,-28.72631814028081,5307.949611754906
349945.1670283573,-4.312969674081475,5899.989580461281
