Freq.	V(vout)/I(I1)
1.25314117494143e+003	(7.48529295306635e+001dB,2.96975212550071e+001°)
1.25458473785801e+003	(7.48553836414912e+001dB,2.96691208560474e+001°)
1.25602996369489e+003	(7.48578334907873e+001dB,2.96407370905040e+001°)
1.25747685436767e+003	(7.48602790835539e+001dB,2.96123699763981e+001°)
1.25892541179418e+003	(7.48627204247947e+001dB,2.95840195316751e+001°)
1.26037563789444e+003	(7.48651575195170e+001dB,2.95556857742043e+001°)
1.26182753459069e+003	(7.48675903727292e+001dB,2.95273687217793e+001°)
1.26328110380737e+003	(7.48700189894433e+001dB,2.94990683921178e+001°)
1.26473634747117e+003	(7.48724433746727e+001dB,2.94707848028616e+001°)
1.26619326751096e+003	(7.48748635334330e+001dB,2.94425179715768e+001°)
1.26765186585786e+003	(7.48772794707436e+001dB,2.94142679157539e+001°)
1.26911214444521e+003	(7.48796911916242e+001dB,2.93860346528076e+001°)
1.27057410520856e+003	(7.48820987010980e+001dB,2.93578182000768e+001°)
1.27203775008571e+003	(7.48845020041896e+001dB,2.93296185748249e+001°)
1.27350308101668e+003	(7.48869011059262e+001dB,2.93014357942398e+001°)
1.27497009994373e+003	(7.48892960113370e+001dB,2.92732698754337e+001°)
1.27643880881136e+003	(7.48916867254533e+001dB,2.92451208354435e+001°)
1.27790920956630e+003	(7.48940732533083e+001dB,2.92169886912305e+001°)
1.27938130415754e+003	(7.48964555999377e+001dB,2.91888734596805e+001°)
1.28085509453630e+003	(7.48988337703782e+001dB,2.91607751576040e+001°)
1.28233058265604e+003	(7.49012077696694e+001dB,2.91326938017364e+001°)
1.28380777047249e+003	(7.49035776028527e+001dB,2.91046294087375e+001°)
1.28528665994363e+003	(7.49059432749708e+001dB,2.90765819951920e+001°)
1.28676725302969e+003	(7.49083047910691e+001dB,2.90485515776093e+001°)
1.28824955169315e+003	(7.49106621561939e+001dB,2.90205381724238e+001°)
1.28973355789877e+003	(7.49130153753937e+001dB,2.89925417959946e+001°)
1.29121927361355e+003	(7.49153644537194e+001dB,2.89645624646059e+001°)
1.29270670080678e+003	(7.49177093962226e+001dB,2.89366001944669e+001°)
1.29419584145000e+003	(7.49200502079574e+001dB,2.89086550017118e+001°)
1.29568669751704e+003	(7.49223868939789e+001dB,2.88807269023997e+001°)
1.29717927098397e+003	(7.49247194593442e+001dB,2.88528159125150e+001°)
1.29867356382918e+003	(7.49270479091122e+001dB,2.88249220479674e+001°)
1.30016957803331e+003	(7.49293722483432e+001dB,2.87970453245916e+001°)
1.30166731557928e+003	(7.49316924820989e+001dB,2.87691857581476e+001°)
1.30316677845232e+003	(7.49340086154427e+001dB,2.87413433643209e+001°)
1.30466796863991e+003	(7.49363206534394e+001dB,2.87135181587224e+001°)
1.30617088813186e+003	(7.49386286011553e+001dB,2.86857101568882e+001°)
1.30767553892024e+003	(7.49409324636580e+001dB,2.86579193742800e+001°)
1.30918192299943e+003	(7.49432322460169e+001dB,2.86301458262852e+001°)
1.31069004236610e+003	(7.49455279533024e+001dB,2.86023895282166e+001°)
1.31219989901922e+003	(7.49478195905860e+001dB,2.85746504953126e+001°)
1.31371149496008e+003	(7.49501071629412e+001dB,2.85469287427377e+001°)
1.31522483219226e+003	(7.49523906754422e+001dB,2.85192242855817e+001°)
1.31673991272164e+003	(7.49546701331646e+001dB,2.84915371388605e+001°)
1.31825673855643e+003	(7.49569455411857e+001dB,2.84638673175158e+001°)
1.31977531170714e+003	(7.49592169045830e+001dB,2.84362148364152e+001°)
1.32129563418660e+003	(7.49614842284360e+001dB,2.84085797103523e+001°)
1.32281770800995e+003	(7.49637475178251e+001dB,2.83809619540469e+001°)
1.32434153519468e+003	(7.49660067778313e+001dB,2.83533615821447e+001°)
1.32586711776058e+003	(7.49682620135374e+001dB,2.83257786092177e+001°)
1.32739445772976e+003	(7.49705132300273e+001dB,2.82982130497642e+001°)
1.32892355712668e+003	(7.49727604323850e+001dB,2.82706649182085e+001°)
1.33045441797811e+003	(7.49750036256964e+001dB,2.82431342289016e+001°)
1.33198704231318e+003	(7.49772428150476e+001dB,2.82156209961208e+001°)
1.33352143216334e+003	(7.49794780055262e+001dB,2.81881252340697e+001°)
1.33505758956239e+003	(7.49817092022204e+001dB,2.81606469568787e+001°)
1.33659551654646e+003	(7.49839364102194e+001dB,2.81331861786047e+001°)
1.33813521515404e+003	(7.49861596346134e+001dB,2.81057429132313e+001°)
1.33967668742596e+003	(7.49883788804929e+001dB,2.80783171746687e+001°)
1.34121993540539e+003	(7.49905941529495e+001dB,2.80509089767540e+001°)
1.34276496113788e+003	(7.49928054570755e+001dB,2.80235183332514e+001°)
1.34431176667133e+003	(7.49950127979641e+001dB,2.79961452578515e+001°)
1.34586035405597e+003	(7.49972161807084e+001dB,2.79687897641724e+001°)
1.34741072534443e+003	(7.49994156104037e+001dB,2.79414518657591e+001°)
1.34896288259168e+003	(7.50016110921444e+001dB,2.79141315760836e+001°)
1.35051682785506e+003	(7.50038026310262e+001dB,2.78868289085452e+001°)
1.35207256319430e+003	(7.50059902321454e+001dB,2.78595438764705e+001°)
1.35363009067148e+003	(7.50081739005985e+001dB,2.78322764931135e+001°)
1.35518941235106e+003	(7.50103536414829e+001dB,2.78050267716554e+001°)
1.35675053029988e+003	(7.50125294598959e+001dB,2.77777947252051e+001°)
1.35831344658718e+003	(7.50147013609362e+001dB,2.77505803667990e+001°)
1.35987816328454e+003	(7.50168693497024e+001dB,2.77233837094010e+001°)
1.36144468246597e+003	(7.50190334312933e+001dB,2.76962047659028e+001°)
1.36301300620785e+003	(7.50211936108082e+001dB,2.76690435491238e+001°)
1.36458313658895e+003	(7.50233498933473e+001dB,2.76419000718113e+001°)
1.36615507569043e+003	(7.50255022840100e+001dB,2.76147743466406e+001°)
1.36772882559587e+003	(7.50276507878969e+001dB,2.75876663862147e+001°)
1.36930438839123e+003	(7.50297954101088e+001dB,2.75605762030651e+001°)
1.37088176616488e+003	(7.50319361557465e+001dB,2.75335038096509e+001°)
1.37246096100759e+003	(7.50340730299110e+001dB,2.75064492183599e+001°)
1.37404197501254e+003	(7.50362060377034e+001dB,2.74794124415078e+001°)
1.37562481027533e+003	(7.50383351842255e+001dB,2.74523934913388e+001°)
1.37720946889397e+003	(7.50404604745783e+001dB,2.74253923800258e+001°)
1.37879595296888e+003	(7.50425819138637e+001dB,2.73984091196698e+001°)
1.38038426460291e+003	(7.50446995071833e+001dB,2.73714437223007e+001°)
1.38197440590132e+003	(7.50468132596389e+001dB,2.73444961998768e+001°)
1.38356637897181e+003	(7.50489231763322e+001dB,2.73175665642854e+001°)
1.38516018592449e+003	(7.50510292623648e+001dB,2.72906548273425e+001°)
1.38675582887191e+003	(7.50531315228386e+001dB,2.72637610007929e+001°)
1.38835330992907e+003	(7.50552299628554e+001dB,2.72368850963107e+001°)
1.38995263121338e+003	(7.50573245875162e+001dB,2.72100271254988e+001°)
1.39155379484470e+003	(7.50594154019231e+001dB,2.71831870998893e+001°)
1.39315680294533e+003	(7.50615024111768e+001dB,2.71563650309437e+001°)
1.39476165764002e+003	(7.50635856203789e+001dB,2.71295609300524e+001°)
1.39636836105596e+003	(7.50656650346298e+001dB,2.71027748085356e+001°)
1.39797691532280e+003	(7.50677406590306e+001dB,2.70760066776428e+001°)
1.39958732257264e+003	(7.50698124986815e+001dB,2.70492565485531e+001°)
1.40119958494003e+003	(7.50718805586829e+001dB,2.70225244323752e+001°)
1.40281370456198e+003	(7.50739448441344e+001dB,2.69958103401476e+001°)
1.40442968357797e+003	(7.50760053601357e+001dB,2.69691142828385e+001°)
1.40604752412994e+003	(7.50780621117860e+001dB,2.69424362713460e+001°)
1.40766722836229e+003	(7.50801151041842e+001dB,2.69157763164982e+001°)
1.40928879842190e+003	(7.50821643424283e+001dB,2.68891344290533e+001°)
1.41091223645812e+003	(7.50842098316165e+001dB,2.68625106196998e+001°)
1.41253754462278e+003	(7.50862515768463e+001dB,2.68359048990560e+001°)
1.41416472507018e+003	(7.50882895832148e+001dB,2.68093172776709e+001°)
1.41579377995711e+003	(7.50903238558184e+001dB,2.67827477660237e+001°)
1.41742471144283e+003	(7.50923543997531e+001dB,2.67561963745243e+001°)
1.41905752168912e+003	(7.50943812201143e+001dB,2.67296631135130e+001°)
1.42069221286021e+003	(7.50964043219966e+001dB,2.67031479932607e+001°)
1.42232878712285e+003	(7.50984237104943e+001dB,2.66766510239694e+001°)
1.42396724664627e+003	(7.51004393907015e+001dB,2.66501722157715e+001°)
1.42560759360222e+003	(7.51024513677104e+001dB,2.66237115787307e+001°)
1.42724983016492e+003	(7.51044596466137e+001dB,2.65972691228417e+001°)
1.42889395851113e+003	(7.51064642325026e+001dB,2.65708448580299e+001°)
1.43053998082009e+003	(7.51084651304680e+001dB,2.65444387941525e+001°)
1.43218789927357e+003	(7.51104623455997e+001dB,2.65180509409976e+001°)
1.43383771605584e+003	(7.51124558829875e+001dB,2.64916813082847e+001°)
1.43548943335368e+003	(7.51144457477192e+001dB,2.64653299056650e+001°)
1.43714305335642e+003	(7.51164319448825e+001dB,2.64389967427211e+001°)
1.43879857825587e+003	(7.51184144795642e+001dB,2.64126818289674e+001°)
1.44045601024640e+003	(7.51203933568503e+001dB,2.63863851738498e+001°)
1.44211535152490e+003	(7.51223685818252e+001dB,2.63601067867462e+001°)
1.44377660429076e+003	(7.51243401595735e+001dB,2.63338466769668e+001°)
1.44543977074596e+003	(7.51263080951775e+001dB,2.63076048537531e+001°)
1.44710485309496e+003	(7.51282723937201e+001dB,2.62813813262792e+001°)
1.44877185354479e+003	(7.51302330602815e+001dB,2.62551761036516e+001°)
1.45044077430502e+003	(7.51321900999423e+001dB,2.62289891949086e+001°)
1.45211161758777e+003	(7.51341435177812e+001dB,2.62028206090214e+001°)
1.45378438560769e+003	(7.51360933188634e+001dB,2.61766703548933e+001°)
1.45545908058200e+003	(7.51380395082909e+001dB,2.61505384413605e+001°)
1.45713570473045e+003	(7.51399820911265e+001dB,2.61244248771918e+001°)
1.45881426027538e+003	(7.51419210724452e+001dB,2.60983296710888e+001°)
1.46049474944166e+003	(7.51438564573198e+001dB,2.60722528316860e+001°)
1.46217717445675e+003	(7.51457882508228e+001dB,2.60461943675510e+001°)
1.46386153755065e+003	(7.51477164580244e+001dB,2.60201542871841e+001°)
1.46554784095594e+003	(7.51496410839950e+001dB,2.59941325990194e+001°)
1.46723608690778e+003	(7.51515621338029e+001dB,2.59681293114238e+001°)
1.46892627764390e+003	(7.51534796125146e+001dB,2.59421444326978e+001°)
1.47061841540459e+003	(7.51553935251962e+001dB,2.59161779710752e+001°)
1.47231250243275e+003	(7.51573038769122e+001dB,2.58902299347237e+001°)
1.47400854097384e+003	(7.51592106727257e+001dB,2.58643003317444e+001°)
1.47570653327593e+003	(7.51611139176981e+001dB,2.58383891701724e+001°)
1.47740648158964e+003	(7.51630136168898e+001dB,2.58124964579764e+001°)
1.47910838816824e+003	(7.51649097753597e+001dB,2.57866222030594e+001°)
1.48081225526754e+003	(7.51668023981651e+001dB,2.57607664132582e+001°)
1.48251808514599e+003	(7.51686914903620e+001dB,2.57349290963440e+001°)
1.48422588006460e+003	(7.51705770570046e+001dB,2.57091102600222e+001°)
1.48593564228704e+003	(7.51724591031461e+001dB,2.56833099119327e+001°)
1.48764737407953e+003	(7.51743376338378e+001dB,2.56575280596495e+001°)
1.48936107771095e+003	(7.51762126541291e+001dB,2.56317647106819e+001°)
1.49107675545275e+003	(7.51780841690685e+001dB,2.56060198724731e+001°)
1.49279440957903e+003	(7.51799521837029e+001dB,2.55802935524017e+001°)
1.49451404236649e+003	(7.51818167030766e+001dB,2.55545857577809e+001°)
