Freq.	V(vout)/I(I1)
1.48081225526754e+002	(7.51668022617764e+001dB,2.57736708197366e+001°)
1.48251808514598e+002	(7.51686913544058e+001dB,2.57478483705007e+001°)
1.48422588006460e+002	(7.51705769214826e+001dB,2.57220444189835e+001°)
1.48593564228704e+002	(7.51724589680600e+001dB,2.56962589728444e+001°)
1.48764737407953e+002	(7.51743374991890e+001dB,2.56704920396775e+001°)
1.48936107771095e+002	(7.51762125199196e+001dB,2.56447436270114e+001°)
1.49107675545275e+002	(7.51780840352998e+001dB,2.56190137423096e+001°)
1.49279440957903e+002	(7.51799520503764e+001dB,2.55933023929701e+001°)
1.49451404236649e+002	(7.51818165701941e+001dB,2.55676095863262e+001°)
1.49623565609446e+002	(7.51836775997967e+001dB,2.55419353296460e+001°)
1.49795925304491e+002	(7.51855351442253e+001dB,2.55162796301328e+001°)
1.49968483550241e+002	(7.51873892085202e+001dB,2.54906424949250e+001°)
1.50141240575417e+002	(7.51892397977195e+001dB,2.54650239310965e+001°)
1.50314196609005e+002	(7.51910869168595e+001dB,2.54394239456566e+001°)
1.50487351880255e+002	(7.51929305709750e+001dB,2.54138425455502e+001°)
1.50660706618677e+002	(7.51947707650993e+001dB,2.53882797376579e+001°)
1.50834261054051e+002	(7.51966075042629e+001dB,2.53627355287957e+001°)
1.51008015416418e+002	(7.51984407934957e+001dB,2.53372099257159e+001°)
1.51181969936085e+002	(7.52002706378247e+001dB,2.53117029351066e+001°)
1.51356124843624e+002	(7.52020970422758e+001dB,2.52862145635920e+001°)
1.51530480369873e+002	(7.52039200118721e+001dB,2.52607448177324e+001°)
1.51705036745937e+002	(7.52057395516362e+001dB,2.52352937040245e+001°)
1.51879794203185e+002	(7.52075556665875e+001dB,2.52098612289013e+001°)
1.52054752973253e+002	(7.52093683617438e+001dB,2.51844473987325e+001°)
1.52229913288045e+002	(7.52111776421213e+001dB,2.51590522198240e+001°)
1.52405275379732e+002	(7.52129835127340e+001dB,2.51336756984191e+001°)
