Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
5470.159628939721,-52.39205074766809,6229.769470076521
5546.25712957911,-52.73483657407413,6173.597252234325
5623.413251903497,-53.10445439907579,6117.869585955099
5701.642722807478,-53.49702128435166,6063.891851781505
5780.960474057187,-53.82136236814407,6009.167043862146
5861.381645140291,-54.17668553417003,5953.257387119851
5942.921586155733,-54.54361615145564,5899.091053834029
6025.59586074358,-54.9029099303758,5842.955219374569
6109.420249055726,-55.2102344780902,5786.439852757962
6194.410750767818,-55.62119460875554,5737.447260159615
6280.583588133187,-55.94180769582077,5681.501582318091
6367.955209079162,-56.26480546144248,5625.983619206318
6456.542290346562,-56.63335162600892,5570.671236958586
6546.361740672754,-56.93882320936188,5515.411459578664
6637.430704019096,-57.30355094946297,5461.021898168924
6729.766562843181,-57.661745470965,5407.812889714914
6823.386941416704,-57.98175098372646,5352.279086207687
6918.30970918937,-58.30298865000449,5299.476134739334
7014.552984199721,-58.60694522587613,5245.627942886415
7112.135136533296,-58.95984114043433,5193.893285464478
7211.074791829004,-59.28473332592957,5141.312038238968
7311.39083483418,-59.58356612451501,5085.283267076668
7413.102413009185,-59.89438341419633,5031.797807353694
7516.228940182061,-60.233915332127,4978.940139326901
7620.79010025413,-60.55607497571071,4927.051485371072
7726.805850957029,-60.84672864428953,4876.465198322233
7834.296427662129,-61.16001228342717,4824.005372891012
7943.282347242821,-61.48745792278033,4772.059347089154
8053.784411990678,-61.77593102277909,4718.769073079864
8165.823713585931,-62.07759714294156,4667.832603862983
8279.421637123352,-62.3476932375992,4618.044872670463
8394.599865193981,-62.65174214470277,4567.3285044322
8511.380382023775,-62.94317580643207,4515.634302433976
8629.78547766971,-63.25976942470565,4466.313582137696
8749.837752274372,-63.51260167836871,4416.312469387371
8871.560120379616,-63.83444977672197,4368.274851597692
8994.975815300364,-64.09610134403232,4319.170351356205
9120.108393559105,-64.37792931893584,4269.610154280898
9246.98173938224,-64.65197351190029,4221.888538939297
9375.620069258812,-64.91869422162326,4173.241581537763
9506.047936562829,-65.21214007495861,4125.504922910477
9638.290236239714,-65.46212844927491,4078.44785221902
9772.372209558122,-65.71856215860356,4030.8046871885
9908.319448927685,-65.98104043105283,3983.624300535063
10046.15790278396,-66.21943154788244,3937.559071851286
10185.91388054118,-66.48896698119074,3890.700387371501
