req.	V(Vout)/V(n002)
1.24165230759243e+002	(-1.34209862469232e+000dB,2.99384179231607e+001°)
1.24308263584464e+002	(-1.33961007943360e+000dB,2.99098983441628e+001°)
1.24451461177140e+002	(-1.33712583581420e+000dB,2.98813952669246e+001°)
1.24594823727076e+002	(-1.33464588885325e+000dB,2.98529087100974e+001°)
1.24738351424296e+002	(-1.33217023356731e+000dB,2.98244386922561e+001°)
1.24882044459041e+002	(-1.32969886497010e+000dB,2.97959852318997e+001°)
1.25025903021774e+002	(-1.32723177807291e+000dB,2.97675483474510e+001°)
1.25169927303174e+002	(-1.32476896788425e+000dB,2.97391280572566e+001°)
1.25314117494143e+002	(-1.32231042940988e+000dB,2.97107243795871e+001°)
1.25458473785801e+002	(-1.31985615765343e+000dB,2.96823373326372e+001°)
1.25602996369489e+002	(-1.31740614761555e+000dB,2.96539669345255e+001°)
1.25747685436768e+002	(-1.31496039429458e+000dB,2.96256132032946e+001°)
1.25892541179418e+002	(-1.31251889268655e+000dB,2.95972761569114e+001°)
1.26037563789444e+002	(-1.31008163778478e+000dB,2.95689558132666e+001°)
1.26182753459069e+002	(-1.30764862458041e+000dB,2.95406521901753e+001°)
1.26328110380737e+002	(-1.30521984806204e+000dB,2.95123653053766e+001°)
1.26473634747117e+002	(-1.30279530321597e+000dB,2.94840951765339e+001°)
1.26619326751096e+002	(-1.30037498502645e+000dB,2.94558418212349e+001°)
1.26765186585786e+002	(-1.29795888847499e+000dB,2.94276052569915e+001°)
1.26911214444521e+002	(-1.29554700854129e+000dB,2.93993855012399e+001°)
1.27057410520856e+002	(-1.29313934020269e+000dB,2.93711825713408e+001°)
1.27203775008571e+002	(-1.29073587843423e+000dB,2.93429964845791e+001°)
1.27350308101668e+002	(-1.28833661820894e+000dB,2.93148272581644e+001°)
1.27497009994373e+002	(-1.28594155449782e+000dB,2.92866749092304e+001°)
1.27643880881136e+002	(-1.28355068226946e+000dB,2.92585394548358e+001°)
1.27790920956630e+002	(-1.28116399649077e+000dB,2.92304209119635e+001°)
1.27938130415754e+002	(-1.27878149212650e+000dB,2.92023192975211e+001°)
1.28085509453630e+002	(-1.27640316413938e+000dB,2.91742346283408e+001°)
1.28233058265604e+002	(-1.27402900749019e+000dB,2.91461669211798e+001°)
1.28380777047249e+002	(-1.27165901713776e+000dB,2.91181161927195e+001°)
1.28528665994363e+002	(-1.26929318803927e+000dB,2.90900824595665e+001°)
1.28676725302969e+002	(-1.26693151514968e+000dB,2.90620657382520e+001°)
1.28824955169315e+002	(-1.26457399342223e+000dB,2.90340660452322e+001°)
1.28973355789877e+002	(-1.26222061780869e+000dB,2.90060833968882e+001°)
1.29121927361355e+002	(-1.25987138325848e+000dB,2.89781178095260e+001°)
1.29270670080678e+002	(-1.25752628471979e+000dB,2.89501692993766e+001°)
1.29419584145000e+002	(-1.25518531713883e+000dB,2.89222378825960e+001°)
1.29568669751704e+002	(-1.25284847546027e+000dB,2.88943235752655e+001°)
1.29717927098397e+002	(-1.25051575462708e+000dB,2.88664263933914e+001°)
1.29867356382918e+002	(-1.24818714958057e+000dB,2.88385463529052e+001°)
1.30016957803331e+002	(-1.24586265526051e+000dB,2.88106834696638e+001°)
1.30166731557928e+002	(-1.24354226660528e+000dB,2.87828377594491e+001°)
1.30316677845232e+002	(-1.24122597855149e+000dB,2.87550092379687e+001°)
1.30466796863991e+002	(-1.23891378603432e+000dB,2.87271979208554e+001°)
1.30617088813186e+002	(-1.23660568398750e+000dB,2.86994038236674e+001°)
1.30767553892024e+002	(-1.23430166734347e+000dB,2.86716269618887e+001°)
1.30918192299943e+002	(-1.23200173103309e+000dB,2.86438673509286e+001°)
1.31069004236610e+002	(-1.22970586998597e+000dB,2.86161250061221e+001°)
1.31219989901922e+002	(-1.22741407913034e+000dB,2.85883999427299e+001°)
1.31371149496008e+002	(-1.22512635339312e+000dB,2.85606921759384e+001°)
1.31522483219226e+002	(-1.22284268769995e+000dB,2.85330017208598e+001°)
1.31673991272164e+002	(-1.22056307697510e+000dB,2.85053285925321e+001°)
1.31825673855643e+002	(-1.21828751614197e+000dB,2.84776728059192e+001°)
1.31977531170714e+002	(-1.21601600012246e+000dB,2.84500343759111e+001°)
1.32129563418659e+002	(-1.21374852383728e+000dB,2.84224133173236e+001°)
1.32281770800995e+002	(-1.21148508220626e+000dB,2.83948096448988e+001°)
1.32434153519468e+002	(-1.20922567014801e+000dB,2.83672233733047e+001°)
1.32586711776058e+002	(-1.20697028258005e+000dB,2.83396545171357e+001°)
1.32739445772976e+002	(-1.20471891441879e+000dB,2.83121030909123e+001°)
1.32892355712668e+002	(-1.20247156057982e+000dB,2.82845691090813e+001°)
1.33045441797811e+002	(-1.20022821597770e+000dB,2.82570525860162e+001°)
1.33198704231318e+002	(-1.19798887552579e+000dB,2.82295535360164e+001°)
1.33352143216334e+002	(-1.19575353413694e+000dB,2.82020719733082e+001°)
1.33505758956239e+002	(-1.19352218672271e+000dB,2.81746079120444e+001°)
1.33659551654646e+002	(-1.19129482819415e+000dB,2.81471613663043e+001°)
1.33813521515404e+002	(-1.18907145346125e+000dB,2.81197323500941e+001°)
1.33967668742596e+002	(-1.18685205743318e+000dB,2.80923208773464e+001°)
1.34121993540539e+002	(-1.18463663501856e+000dB,2.80649269619211e+001°)
1.34276496113788e+002	(-1.18242518112504e+000dB,2.80375506176045e+001°)
1.34431176667133e+002	(-1.18021769065948e+000dB,2.80101918581102e+001°)
1.34586035405597e+002	(-1.17801415852843e+000dB,2.79828506970788e+001°)
1.34741072534443e+002	(-1.17581457963732e+000dB,2.79555271480777e+001°)
1.34896288259167e+002	(-1.17361894889141e+000dB,2.79282212246017e+001°)
1.35051682785506e+002	(-1.17142726119510e+000dB,2.79009329400729e+001°)
1.35207256319430e+002	(-1.16923951145203e+000dB,2.78736623078404e+001°)
1.35363009067148e+002	(-1.16705569456564e+000dB,2.78464093411809e+001°)
1.35518941235106e+002	(-1.16487580543869e+000dB,2.78191740532984e+001°)
1.35675053029988e+002	(-1.16269983897346e+000dB,2.77919564573245e+001°)
1.35831344658718e+002	(-1.16052779007188e+000dB,2.77647565663183e+001°)
1.35987816328454e+002	(-1.15835965363529e+000dB,2.77375743932665e+001°)
1.36144468246597e+002	(-1.15619542456469e+000dB,2.77104099510837e+001°)
1.36301300620785e+002	(-1.15403509776057e+000dB,2.76832632526121e+001°)
1.36458313658895e+002	(-1.15187866812351e+000dB,2.76561343106219e+001°)
1.36615507569043e+002	(-1.14972613055317e+000dB,2.76290231378110e+001°)
1.36772882559587e+002	(-1.14757747994931e+000dB,2.76019297468056e+001°)
1.36930438839123e+002	(-1.14543271121143e+000dB,2.75748541501598e+001°)
1.37088176616488e+002	(-1.14329181923857e+000dB,2.75477963603559e+001°)
1.37246096100758e+002	(-1.14115479892969e+000dB,2.75207563898044e+001°)
1.37404197501254e+002	(-1.13902164518363e+000dB,2.74937342508443e+001°)
1.37562481027533e+002	(-1.13689235289889e+000dB,2.74667299557426e+001°)
1.37720946889397e+002	(-1.13476691697405e+000dB,2.74397435166950e+001°)
1.37879595296888e+002	(-1.13264533230742e+000dB,2.74127749458258e+001°)
1.38038426460291e+002	(-1.13052759379729e+000dB,2.73858242551878e+001°)
1.38197440590132e+002	(-1.12841369634213e+000dB,2.73588914567626e+001°)
1.38356637897180e+002	(-1.12630363483993e+000dB,2.73319765624603e+001°)
1.38516018592449e+002	(-1.12419740418916e+000dB,2.73050795841201e+001°)
