Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
5321.082592667947,-13.86566303583606,244.0410084959975
5395.106225151279,-13.70624359251254,243.8256379007298
5470.159628939721,-13.50724286550883,243.7192105896166
5546.25712957911,-13.36405428973013,243.5686774255697
5623.413251903497,-13.1743846260287,243.4731198487032
5701.642722807478,-13.02102008938427,243.3451485879024
5780.960474057187,-12.86337450336176,243.2168547145018
5861.381645140291,-12.68118721650211,243.1758014263315
5942.921586155733,-12.51297115717411,243.0017637656599
6025.59586074358,-12.35547214256991,242.9531558340803
6109.420249055726,-12.1954514712257,242.8039863795389
6194.410750767818,-12.02969444447053,242.647974186252
6280.583588133187,-11.87592823626271,242.490426406215
6367.955209079162,-11.73267332913063,242.6148604050654
6456.542290346562,-11.57728147546867,242.388403126265
6546.361740672754,-11.41853884875542,242.3251674692643
6637.430704019096,-11.28297862234339,242.1983802872354
6729.766562843181,-11.12211972108948,242.0990978907155
6823.386941416704,-10.9751984023348,242.0255905260203
6918.30970918937,-10.82436096166057,241.9327535580225
7014.552984199721,-10.69958602573671,241.8950119618592
7112.135136533296,-10.55846251005668,241.819772223603
7211.074791829004,-10.42021670392247,241.6965214641186
7311.39083483418,-10.29758999826277,241.6620881869061
7413.102413009185,-10.14175524059948,241.6371590492861
7516.228940182061,-10.02856290465788,241.5391377607081
7620.79010025413,-9.884376210669652,241.5105082651462
7726.805850957029,-9.78486886131695,241.3966787053774
7834.296427662129,-9.639679533535586,241.2903036451916
7943.282347242821,-9.513969488007291,241.245735150443
8053.784411990678,-9.384030260032919,241.1379450886051
8165.823713585931,-9.245423129894821,241.1307316124534
8279.421637123352,-9.121000143078392,241.0087336106192
8394.599865193981,-9.024369253712633,240.9939843439986
8511.380382023775,-8.901830725545665,240.9553250305029
8629.78547766971,-8.779078296960988,240.8526590226563
8749.837752274372,-8.673245430907709,240.7812742896524
8871.560120379616,-8.551558996700045,240.7123886992545
8994.975815300364,-8.466875381967624,240.7993646485398
9120.108393559105,-8.32311318699672,240.6612869369879
9246.98173938224,-8.218237959849995,240.6264551984292
9375.620069258812,-8.095080987178472,240.5959958976249
9506.047936562829,-8.02177557263208,240.4882477158857
9638.290236239714,-7.886398287842849,240.4458536371551
9772.372209558122,-7.798215467118206,240.41270878453
9908.319448927685,-7.668047145031742,240.445245457064
10046.15790278396,-7.606444976527502,240.2584112398886
10185.91388054118,-7.50093355292481,240.3221409928196
10327.61405761399,-7.396212232083412,240.1269567738351
10471.28548050901,-7.291731552649392,240.1679852892206
10616.95557198726,-7.178938735017099,240.1294237135263
10764.65213629836,-7.101465648121919,240.1704263648599
10914.40336448757,-7.015153542037917,240.0987802082201
11066.23783977667,-6.907716814349999,240.1212358090159
11220.18454301964,-6.840548218051428,240.0004110072915
11376.27285823432,-6.710243562577689,240.0259636979808
11534.53257821093,-6.64133980355534,239.9099089409368
11694.99391019872,-6.567280613638683,239.8946358759178
11857.68748167161,-6.477075364643704,239.9255161716092
12022.64434617414,-6.377802905316372,239.8523646302961
12189.89598924867,-6.300038741414635,239.827980876991
12359.47433444511,-6.197389847248749,239.7307565152857
12531.41174941417,-6.11489509964177,239.7021888517299
12705.74105208543,-6.064442938615429,239.7164452702141
12882.49551693135,-5.968723797033675,239.7079735729398
13061.70888131842,-5.888111165193466,239.7532329726476
13243.41535194666,-5.80597212068992,239.6844803145918
13427.64961137865,-5.743492427219708,239.6221934588007
13614.44682465951,-5.643878879917493,239.587143311733
13803.84264602886,-5.587330303890747,239.6262949429061
13995.87322572619,-5.489350877031057,239.5432917912557
14190.57521689093,-5.443868100718026,239.5223218124643
14387.98578255847,-5.362647895770171,239.4641458033293
14588.1426027535,-5.268466840282935,239.4171305798579
14791.08388168209,-5.206971687136623,239.4715021915258
14996.84835502375,-5.152172134431674,239.4103219352565
15205.47529732497,-5.062054536528786,239.4347944484864
15417.00452949561,-4.99516696496188,239.3110487233296
15631.47642640956,-4.940801065906367,239.4275426452939
15848.93192461115,-4.890410827783237,239.3992968147876
16069.41253012879,-4.805767820616341,239.3909893406228
16292.96032639724,-4.742918219731394,239.2635995687501
16519.61798229016,-4.680462677796148,239.2853304294488
16749.42876026437,-4.619727801853195,239.3121667581514
16982.43652461744,-4.534903031581747,239.2298323404354
17218.68574986007,-4.491403307692374,239.1730281496093
17458.22152920504,-4.430118499714118,239.2939819426418
17701.08958317421,-4.369615310954218,239.2489322123363
17947.33626832527,-4.315923853917101,239.1136003899767
18197.00858609984,-4.268058491407195,239.2059069832723
18450.15419179474,-4.177099811472642,239.1535092937225
18706.82140365801,-4.125892414638871,239.076621432029
18967.05921211146,-4.081329255252222,239.2090511397866
19230.91728910159,-4.000197123675459,239.0305293105809
19498.44599758046,-3.997565376845496,239.1733080890497
19769.69640111861,-3.921213366044938,239.1108804880345
20044.72027365162,-3.886762704385367,239.0737864015642
