Freq.	-I(Rl)/I(I1)
1.21059813355050e+002	(-6.36035996100967e+000dB,-9.96102573624874e+001°)
1.21199268877494e+002	(-6.35063891294852e+000dB,-9.96211212065752e+001°)
1.21338885046499e+002	(-6.34091848995960e+000dB,-9.96319968660551e+001°)
1.21478662047124e+002	(-6.33119869340363e+000dB,-9.96428843522091e+001°)
1.21618600064638e+002	(-6.32147952464325e+000dB,-9.96537836763242e+001°)
1.21758699284527e+002	(-6.31176098504445e+000dB,-9.96646948496931e+001°)
1.21898959892488e+002	(-6.30204307597603e+000dB,-9.96756178836139e+001°)
1.22039382074433e+002	(-6.29232579880916e+000dB,-9.96865527893899e+001°)
1.22179966016489e+002	(-6.28260915491812e+000dB,-9.96974995783300e+001°)
1.22320711904995e+002	(-6.27289314568013e+000dB,-9.97084582617484e+001°)
1.22461619926506e+002	(-6.26317777247472e+000dB,-9.97194288509644e+001°)
1.22602690267794e+002	(-6.25346303668471e+000dB,-9.97304113573030e+001°)
1.22743923115842e+002	(-6.24374893969584e+000dB,-9.97414057920943e+001°)
1.22885318657852e+002	(-6.23403548289596e+000dB,-9.97524121666736e+001°)
1.23026877081240e+002	(-6.22432266767642e+000dB,-9.97634304923816e+001°)
1.23168598573637e+002	(-6.21461049543103e+000dB,-9.97744607805644e+001°)
1.23310483322892e+002	(-6.20489896755680e+000dB,-9.97855030425729e+001°)
1.23452531517070e+002	(-6.19518808545315e+000dB,-9.97965572897635e+001°)
1.23594743344452e+002	(-6.18547785052276e+000dB,-9.98076235334979e+001°)
1.23737118993537e+002	(-6.17576826417072e+000dB,-9.98187017851428e+001°)
1.23879658653038e+002	(-6.16605932780532e+000dB,-9.98297920560700e+001°)
1.24022362511890e+002	(-6.15635104283772e+000dB,-9.98408943576566e+001°)
1.24165230759243e+002	(-6.14664341068193e+000dB,-9.98520087012847e+001°)
1.24308263584464e+002	(-6.13693643275433e+000dB,-9.98631350983417e+001°)
1.24451461177140e+002	(-6.12723011047513e+000dB,-9.98742735602197e+001°)
1.24594823727076e+002	(-6.11752444526671e+000dB,-9.98854240983163e+001°)
1.24738351424296e+002	(-6.10781943855382e+000dB,-9.98965867240339e+001°)
1.24882044459041e+002	(-6.09811509176579e+000dB,-9.99077614487800e+001°)
1.25025903021774e+002	(-6.08841140633357e+000dB,-9.99189482839670e+001°)
1.25169927303174e+002	(-6.07870838369083e+000dB,-9.99301472410124e+001°)
1.25314117494143e+002	(-6.06900602527509e+000dB,-9.99413583313386e+001°)
1.25458473785801e+002	(-6.05930433252603e+000dB,-9.99525815663731e+001°)
1.25602996369489e+002	(-6.04960330688697e+000dB,-9.99638169575482e+001°)
1.25747685436768e+002	(-6.03990294980307e+000dB,-9.99750645163010e+001°)
1.25892541179418e+002	(-6.03020326272353e+000dB,-9.99863242540738e+001°)
1.26037563789444e+002	(-6.02050424709999e+000dB,-9.99975961823135e+001°)
1.26182753459069e+002	(-6.01080590438669e+000dB,-1.00008880312472e+002°)
1.26328110380737e+002	(-6.00110823604117e+000dB,-1.00020176656006e+002°)
